"","Q.1","Q.2","Q.3","Q.4","Q.5","Q.6","Q.7","Q.8","Q.9","Q.10","Q.11","Q.12","Q.13","Q.14","Q.15","Q.16","Q.17","Q.18","Q.19","Q.20","Q.21","Q.22","Q.23","Q.24","Q.25","Q.26","Q.27","Q.28","Q.29","Q.30","Q.31","Q.32","Q.33","Q.34","Q.35","Q.36","age","gender","country","avoidance","anxiety"
"872",1,5,5,5,1,3,1,5,1,3,1,3,1,4,5,3,1,4,5,2,2,4,1,1,5,1,5,4,4,2,5,2,5,5,5,3,26,"1","GB",-34,51
"873",4,4,5,5,3,3,3,2,3,3,4,2,5,5,5,3,2,5,5,3,3,1,5,4,5,1,5,5,3,5,4,5,3,5,5,3,18,"2","AL",-8,62
"874",2,4,4,4,2,5,3,4,2,4,3,1,2,5,2,1,2,2,4,2,2,1,2,4,2,2,4,3,4,4,4,5,5,3,3,4,20,"2","DK",-12,56
"875",5,1,4,2,2,2,4,1,2,2,2,2,2,1,4,2,3,1,3,1,4,5,3,1,4,1,4,1,2,1,4,1,2,4,4,1,25,"1","SK",-4,20
"876",3,3,3,4,5,4,4,3,3,3,4,2,4,4,3,3,4,3,3,2,4,4,3,2,4,2,4,3,4,3,3,4,4,3,4,2,15,"2","IE",2,46
"877",2,5,5,3,2,4,2,4,2,4,2,3,2,5,4,4,2,4,4,4,2,2,2,4,3,4,4,4,4,2,4,4,4,4,4,2,47,"1","IE",-18,62
"878",3,5,2,1,5,3,5,3,5,1,4,1,5,1,3,1,4,1,2,1,5,1,4,1,1,1,3,3,1,4,4,3,3,5,2,1,29,"2","IE",19,35
"879",4,2,3,2,4,2,5,3,4,3,4,1,4,1,2,2,4,2,3,2,4,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,16,"2","IE",18,30
"880",2,5,3,4,3,4,2,4,2,4,3,1,2,4,4,3,2,4,4,4,4,2,2,3,2,3,3,3,3,2,4,3,4,4,4,3,39,"1","IE",-9,56
"881",1,5,4,5,2,5,2,5,1,5,1,5,2,5,5,4,2,5,4,4,3,1,2,5,5,4,5,5,4,5,5,5,5,5,5,5,16,"1","IE",-26,81
"882",3,2,4,4,5,4,5,2,2,2,3,1,4,1,4,1,2,3,4,3,5,5,4,3,4,2,4,2,4,2,4,4,4,5,4,1,19,"2","IE",-3,37
"883",2,4,3,4,5,2,5,5,2,2,5,5,4,4,2,2,4,5,3,4,2,2,2,2,5,2,5,2,4,3,4,3,4,4,5,3,29,"2","IE",-4,54
"884",2,3,5,4,2,2,1,2,1,2,2,3,2,2,5,3,1,3,4,2,3,4,2,2,4,4,0,1,3,4,4,2,4,5,4,2,19,"1","IE",-17,42
"885",5,4,4,5,4,5,5,2,4,4,4,3,2,1,1,2,3,5,3,5,5,2,3,5,2,4,2,2,1,5,2,4,5,4,2,4,17,"1","IE",13,62
"886",4,5,2,4,3,4,3,3,4,3,3,1,3,5,1,2,3,2,2,2,3,1,3,2,1,3,2,2,2,3,3,2,2,4,2,2,24,"2","IE",12,48
"887",4,5,2,4,2,4,2,4,4,4,4,2,2,5,2,2,4,5,3,2,4,1,4,5,2,4,2,2,2,2,4,4,4,4,2,4,44,"1","IE",7,61
"888",1,5,5,5,2,5,1,4,1,5,1,5,1,4,4,3,1,4,4,4,2,2,2,4,4,3,5,2,4,4,4,4,5,5,5,5,17,"1","DE",-28,69
"889",1,4,4,2,2,3,1,4,1,3,1,3,2,4,4,2,2,4,4,3,2,4,2,4,2,2,4,3,3,2,4,4,4,3,4,3,21,"2","DE",-19,49
"890",5,4,1,3,5,3,4,3,4,2,5,1,5,1,2,1,5,4,1,1,5,2,4,2,2,1,1,1,1,1,1,4,2,3,1,1,22,"2","RS",30,34
"891",2,4,5,3,4,5,5,5,3,5,1,2,4,1,5,1,3,5,4,3,5,4,2,5,2,1,5,1,2,5,4,5,5,3,4,4,22,"2","RS",-7,54
"892",3,3,4,5,3,4,2,2,3,4,3,3,2,3,2,3,2,4,2,4,4,3,3,4,1,4,4,3,2,3,4,3,4,4,2,3,29,"2","RS",0,56
"893",5,5,4,4,5,4,5,4,4,3,4,4,2,4,4,3,4,2,2,1,4,2,3,4,4,3,4,4,3,2,4,2,4,4,5,2,24,"2","RS",2,53
"894",3,4,3,4,4,4,4,4,4,5,3,2,5,5,3,3,4,4,3,2,4,2,3,4,3,2,3,3,2,2,3,4,4,4,4,2,23,"2","RS",6,56
"895",1,3,3,3,2,3,2,4,2,3,2,2,2,1,5,1,3,4,4,3,5,3,2,4,4,2,4,1,1,3,4,3,4,4,4,3,20,"2","RS",-12,44
"896",2,5,5,3,4,4,2,5,1,3,4,3,2,5,4,3,2,4,4,5,5,1,1,4,4,3,4,3,1,4,5,3,4,5,4,3,16,"2","JP",-12,64
"897",2,5,5,5,3,4,1,4,2,5,3,3,1,4,4,3,3,5,4,5,3,2,2,4,3,4,4,3,4,5,4,5,4,5,4,5,17,"1","ID",-16,72
"898",1,5,5,5,1,4,1,4,1,1,1,1,1,5,5,4,1,5,5,5,1,1,1,5,3,1,4,5,3,5,5,5,5,5,5,5,20,"2","AU",-31,69
"899",2,4,4,4,2,3,2,4,2,4,2,2,2,4,3,4,2,4,4,2,2,2,2,2,3,2,4,2,4,3,4,4,4,4,4,2,32,"1","AU",-16,52
"900",4,3,4,2,3,3,3,2,4,3,2,2,2,1,3,3,2,2,4,2,4,4,4,3,2,2,4,2,3,4,4,4,4,3,4,2,23,"2","AU",-4,39
"901",1,5,3,3,2,5,2,5,1,5,1,1,3,5,5,3,3,5,5,5,1,3,3,4,5,5,4,4,2,3,5,3,3,3,5,3,23,"2","AU",-20,64
"902",2,3,4,2,2,4,2,3,2,4,4,4,2,2,4,4,4,3,2,3,3,3,2,2,4,4,3,2,4,3,2,3,4,4,3,4,16,"1","AU",-7,51
"903",3,5,2,4,3,4,5,4,3,4,5,2,5,1,3,1,5,2,3,4,5,2,4,4,1,2,2,1,2,3,5,3,4,5,2,4,17,"2","MY",14,51
"904",3,5,4,4,2,4,2,2,3,4,2,4,4,5,5,3,2,4,3,4,3,2,2,3,3,3,2,4,3,3,4,3,3,3,3,3,21,"1","MY",-7,59
"905",4,3,1,2,4,3,4,3,5,3,3,3,3,1,1,2,4,2,1,4,5,4,5,4,1,1,1,1,1,3,1,4,2,1,1,1,26,"2","JP",27,37
"906",2,3,4,4,2,3,2,2,2,2,4,2,3,2,4,2,3,2,2,4,4,4,2,2,2,2,4,4,3,4,4,2,4,4,4,2,35,"2","AU",-7,42
"907",4,5,2,5,5,5,5,3,3,1,3,4,3,3,4,3,3,5,4,5,5,1,3,5,5,1,5,3,1,4,3,5,5,5,5,4,29,"2","AU",0,65
"908",4,2,4,2,4,4,5,1,3,2,2,1,4,2,2,2,3,2,3,2,5,5,4,3,2,2,3,1,2,4,4,4,4,4,4,2,20,"2","AU",6,35
"909",3,5,4,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,2,5,3,1,2,5,4,5,3,5,3,4,4,5,3,5,3,5,18,"1","AU",10,82
"910",4,4,2,3,4,5,3,4,4,2,4,1,3,1,3,1,5,3,2,2,3,3,4,3,3,2,3,1,3,2,4,3,4,5,4,2,19,"2","AU",6,41
"911",4,4,3,3,2,3,3,3,4,3,4,3,3,2,4,4,3,4,3,4,4,2,2,2,3,4,3,2,3,2,4,2,4,3,4,2,42,"2","AU",-2,48
"912",2,3,4,3,2,4,3,3,2,3,3,3,4,4,4,2,2,3,4,3,4,4,2,3,3,2,4,3,3,3,2,4,4,5,4,2,23,"2","AU",-8,49
"913",3,5,5,5,4,5,1,5,3,4,4,2,2,4,2,2,2,5,5,3,2,2,2,3,2,2,2,2,4,4,4,4,4,4,3,3,21,"2","AU",-8,60
"914",5,1,1,1,5,1,5,1,5,1,1,1,5,1,1,1,5,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,25,"2","AU",32,12
"915",4,4,3,4,4,5,4,3,4,3,4,3,4,4,3,3,4,4,3,4,4,2,4,4,2,4,3,4,4,4,2,3,4,4,4,4,17,"2","AU",8,62
"916",2,5,3,5,2,5,2,5,0,5,2,2,2,4,2,4,3,5,0,5,4,1,2,4,4,5,3,4,3,5,3,4,5,5,5,3,23,"2","AU",-9,74
"918",2,4,5,4,1,1,1,4,2,3,2,4,2,4,4,4,3,4,4,2,4,1,2,2,4,3,3,2,2,3,3,3,5,3,4,3,20,"2","AU",-15,52
"919",2,5,5,5,4,5,2,5,4,5,4,1,2,4,5,4,4,5,2,3,4,1,0,5,5,1,5,3,2,4,2,4,5,5,5,4,27,"2","AU",-10,67
"920",1,5,2,5,3,5,5,5,5,5,4,5,5,5,4,4,4,5,2,3,4,5,4,4,3,4,3,5,2,3,2,2,2,5,2,3,17,"1","AU",13,68
"921",1,5,3,4,2,4,4,4,1,3,2,1,4,5,5,2,5,4,3,5,3,2,4,3,5,2,5,1,4,4,5,4,5,4,5,2,18,"2","AU",-14,55
"922",1,4,5,4,3,4,2,3,1,4,2,2,4,4,4,2,2,4,5,2,2,1,1,4,4,2,5,2,4,4,5,4,5,4,5,2,41,"1","AU",-24,54
"923",1,2,5,4,1,5,1,4,1,4,1,3,1,2,5,3,1,3,5,3,1,4,1,4,4,4,4,2,5,4,5,3,5,3,4,4,19,"1","AU",-33,53
"924",4,5,3,4,2,5,4,4,4,5,2,2,4,4,4,4,2,4,3,3,4,2,2,4,4,4,4,4,3,4,4,4,4,5,4,4,23,"2","AU",-5,67
"925",3,5,4,4,4,5,3,5,3,5,3,3,3,5,3,3,3,5,3,5,2,1,3,4,3,3,3,4,3,4,3,4,3,5,3,5,24,"2","AU",-1,73
"926",4,4,4,4,2,2,2,4,2,2,2,1,2,4,4,1,4,4,4,4,1,3,2,3,5,1,5,4,5,4,2,4,4,4,5,3,25,"2","IN",-17,50
"927",4,1,3,4,4,2,2,2,4,2,4,2,2,1,2,2,3,2,2,2,4,5,3,2,1,2,2,1,3,2,4,2,4,2,4,1,24,"1","AU",5,27
"928",3,3,4,3,2,2,3,4,3,2,3,1,2,3,4,1,2,4,4,3,5,4,3,4,3,2,4,1,2,3,5,4,5,3,4,2,21,"2","AU",-9,41
"929",4,5,2,4,4,5,3,4,4,5,4,5,3,5,2,5,4,5,4,5,5,5,5,5,2,5,4,2,2,5,2,5,5,5,5,5,25,"2","AU",8,75
"930",3,4,4,5,2,2,2,3,2,2,4,2,2,4,5,2,2,1,4,1,3,3,2,2,3,2,5,3,3,4,4,2,5,4,4,1,20,"1","AU",-15,41
"931",3,2,5,3,5,2,4,3,3,3,4,1,3,1,3,1,2,3,4,3,5,5,3,4,1,3,4,1,3,2,4,2,4,2,4,1,17,"1","AU",0,32
"932",3,1,4,3,4,2,3,1,4,1,4,1,3,1,4,1,4,1,2,1,5,5,3,3,4,2,4,1,1,4,3,2,3,1,3,1,19,"2","AU",5,22
"933",1,4,5,4,2,5,2,4,1,5,2,2,3,4,5,5,1,4,2,4,4,1,1,4,4,5,4,4,3,4,4,4,5,4,5,2,36,"1","AU",-20,67
"934",4,4,3,4,4,1,1,5,4,2,4,1,2,2,3,2,4,4,3,2,3,2,3,1,2,2,3,2,3,4,3,4,4,2,3,3,21,"1","AU",2,43
"935",3,2,2,3,3,5,5,3,4,5,4,3,3,2,5,3,3,5,3,4,3,4,4,4,4,2,4,2,2,2,3,2,3,2,3,2,22,"2","PK",3,47
"936",4,3,4,2,0,3,3,4,4,5,3,2,4,5,3,2,3,3,2,2,3,3,2,4,3,2,2,2,2,4,4,3,3,4,4,4,18,"2","PK",-1,51
"937",5,5,4,4,1,5,1,5,5,4,5,3,1,5,2,2,4,5,1,5,5,1,2,4,2,3,3,5,2,5,2,5,4,5,5,5,29,"2","PK",4,74
"938",4,4,5,4,1,2,2,4,2,4,4,3,2,4,4,3,3,4,3,4,2,2,2,2,4,3,4,4,4,4,4,4,3,4,4,4,19,"1","PK",-13,59
"939",1,5,5,5,1,4,1,5,2,5,2,1,1,5,5,4,3,5,5,5,3,1,1,5,5,1,4,5,0,5,5,5,4,5,5,4,21,"2","PK",-23,73
"940",2,4,3,4,3,5,3,4,3,4,3,3,3,4,4,3,4,4,3,4,3,2,3,4,5,3,4,4,3,4,4,4,4,4,4,3,18,"2","PH",-7,63
"941",3,4,4,3,4,3,4,3,3,5,3,2,4,5,3,2,3,4,4,4,3,3,3,4,3,3,4,3,4,4,3,3,4,4,4,3,18,"2","PH",-3,56
"942",2,4,5,3,2,3,1,4,2,4,2,2,2,5,4,2,2,5,5,5,3,4,2,5,5,2,5,3,4,4,5,5,5,3,5,3,23,"2","PH",-25,58
"943",4,3,2,3,5,5,4,3,3,4,5,1,4,1,3,1,5,4,1,5,3,5,3,1,3,3,0,1,1,3,3,1,3,3,1,3,18,"2","PH",19,40
"944",5,5,3,4,4,5,3,1,5,5,4,3,4,5,1,1,2,5,2,5,5,1,2,4,1,2,2,3,1,5,5,5,5,5,4,4,23,"3","PH",10,66
"945",3,3,4,3,3,4,4,4,3,5,3,3,4,3,4,3,4,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,4,20,"2","PH",1,56
"946",4,5,4,5,4,4,2,5,3,5,4,4,2,5,4,2,2,4,2,2,2,2,2,4,3,4,4,1,4,4,4,4,4,2,4,3,21,"2","PH",-8,61
"947",1,5,5,4,1,2,2,4,2,5,2,5,2,5,4,2,2,5,4,4,2,1,1,4,4,4,4,4,4,5,5,5,5,5,5,5,16,"2","IN",-25,72
"948",3,5,5,4,1,1,1,5,1,3,1,3,1,4,4,2,1,1,5,3,1,1,1,3,5,5,4,1,5,2,5,5,5,4,5,2,22,"1","TW",-32,52
"949",2,2,4,3,2,2,1,2,2,3,2,1,1,2,4,2,3,2,4,2,3,4,2,3,3,3,3,3,4,3,4,2,4,4,4,2,42,"1","TW",-16,37
"950",5,1,2,3,4,4,5,2,5,4,5,2,3,1,1,1,5,5,2,3,5,5,5,4,1,4,1,1,2,2,2,2,2,4,1,1,23,"2","TW",28,39
"951",4,4,2,5,4,5,5,4,4,5,5,4,4,5,1,3,5,5,3,5,4,3,2,5,2,2,2,5,2,5,1,0,2,5,2,4,22,"2","PK",20,68
"952",3,5,2,5,4,5,5,5,5,4,5,3,4,5,4,3,3,5,2,2,4,2,3,4,2,5,4,3,2,5,5,5,5,4,5,5,22,"2","PK",5,71
"953",2,2,3,2,1,4,2,5,4,4,4,3,2,2,3,2,2,4,1,2,2,4,2,2,1,2,4,2,3,2,4,3,4,4,4,2,20,"1","NZ",-6,43
"954",2,2,5,2,3,5,3,3,2,4,2,2,2,4,4,3,4,5,3,4,3,2,1,4,5,3,4,2,3,3,4,4,4,5,5,4,20,"2","NZ",-15,57
"955",1,1,5,1,2,1,1,1,1,1,1,2,1,1,5,1,1,2,5,4,4,5,1,4,5,1,4,2,4,4,5,5,5,2,5,3,23,"2","NZ",-30,31
"956",4,4,5,2,2,2,1,3,2,4,2,2,2,4,0,2,2,2,4,3,2,4,1,2,5,3,5,2,5,3,5,4,4,3,4,3,20,"1","IN",-19,44
"957",2,4,4,2,4,2,4,2,2,2,2,2,2,2,4,2,2,4,4,3,2,2,2,4,4,2,4,3,4,4,4,4,4,4,4,1,23,"2","IN",-14,45
"958",1,3,5,2,2,2,2,2,0,2,0,2,1,1,4,2,2,2,4,3,3,4,1,3,5,2,5,1,5,4,4,2,4,2,4,2,22,"2","IN",-28,33
"959",3,1,3,2,3,1,3,1,2,1,3,1,1,1,4,1,1,1,3,2,1,4,1,2,2,1,3,1,3,2,3,2,3,2,2,2,33,"2","IN",-8,20
"960",4,4,3,5,5,5,4,4,3,4,5,3,4,5,4,3,3,5,3,3,3,2,4,4,3,3,4,2,2,4,4,5,4,5,4,5,23,"2","ID",4,67
"961",5,5,4,5,2,4,4,5,2,5,4,4,3,5,2,3,4,5,3,3,5,5,4,4,3,3,4,4,2,3,2,4,3,5,4,3,23,"2","ID",6,65
"962",4,3,3,4,3,2,3,4,3,2,3,2,2,2,4,3,3,1,2,2,2,3,2,2,4,3,4,2,4,3,4,3,3,4,3,2,32,"1","HK",-6,41
"963",2,1,5,3,5,1,1,5,5,1,1,3,1,1,5,2,1,3,5,4,2,1,1,1,4,1,5,1,4,5,5,5,4,1,5,3,20,"2","LK",-23,40
"964",2,2,5,1,2,3,1,4,1,3,1,2,1,1,5,3,1,0,4,4,4,4,1,3,3,1,4,1,4,1,3,3,2,4,2,2,38,"2","KR",-18,34
"965",5,5,5,5,3,3,3,5,3,5,5,2,3,3,5,4,3,3,3,3,3,3,3,5,5,4,5,4,5,0,5,5,5,5,4,4,17,"1","PH",-11,62
"966",3,5,3,4,2,4,4,5,5,5,4,3,4,5,2,4,4,4,3,4,3,1,4,4,2,2,3,2,2,4,2,4,3,4,4,4,17,"2","PH",9,66
"967",5,5,5,5,1,5,1,5,5,5,4,1,1,5,5,1,1,1,5,1,1,1,1,1,5,1,5,4,5,5,1,1,1,1,5,5,13,"2","PH",-17,51
"968",2,4,2,5,2,1,3,1,5,2,2,4,5,2,4,2,2,1,4,5,5,5,2,2,2,4,2,2,1,5,4,4,5,5,4,2,18,"2","PH",0,46
"969",3,4,5,5,3,4,3,5,2,4,4,4,4,5,4,4,3,4,2,4,4,1,2,3,2,4,4,4,4,4,4,4,4,5,4,4,17,"1","PH",-5,70
"970",4,5,4,4,3,4,2,3,4,5,3,2,2,3,4,1,2,5,2,5,2,2,2,2,4,1,4,5,4,5,2,5,4,2,4,5,19,"2","PH",-8,60
"971",5,5,5,5,5,5,1,5,5,5,5,1,2,2,5,2,5,5,5,1,5,2,5,4,1,3,1,5,5,5,1,1,1,5,3,1,11,"2","PH",11,58
"972",3,5,5,3,1,3,2,2,2,5,2,3,1,4,5,2,2,5,4,3,2,2,2,4,5,1,5,2,3,4,2,5,5,5,4,4,18,"2","PH",-21,58
"973",2,4,5,4,4,3,4,4,2,3,4,4,2,4,2,4,2,2,4,2,4,2,4,2,4,2,3,2,3,2,4,2,3,4,4,2,16,"1","PH",-4,48
"974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"2","PH",0,0
"975",1,5,2,4,4,2,3,5,1,3,2,1,2,0,4,2,2,5,4,4,4,1,1,4,4,2,5,1,3,4,5,3,5,4,5,3,19,"2","PH",-17,51
"976",2,5,5,4,2,4,2,5,1,5,2,4,2,4,5,3,2,4,4,5,2,2,2,5,5,4,4,4,4,5,5,4,4,2,5,4,22,"2","PH",-24,69
"977",2,5,5,5,2,2,2,4,2,5,2,2,2,5,4,4,1,4,2,2,2,1,2,4,4,2,4,1,2,2,2,1,4,2,4,2,19,"2","PH",-14,51
"978",1,1,4,2,2,2,1,2,1,3,2,3,2,2,5,3,2,2,4,3,3,5,2,2,4,3,4,2,2,2,4,2,4,3,4,2,32,"1","PH",-19,34
"979",2,3,3,4,2,2,1,4,1,2,2,3,2,2,5,2,2,2,4,2,3,3,2,2,4,2,5,2,4,2,4,2,5,3,4,2,32,"1","PH",-21,38
"980",5,5,4,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,4,5,5,2,5,4,3,4,5,3,4,5,5,5,5,5,2,21,"2","PH",-1,72
"981",4,2,2,2,4,2,4,2,2,2,4,2,2,2,4,1,1,1,2,1,4,5,2,1,2,2,2,1,4,1,5,1,5,4,4,1,24,"2","PH",-3,23
"982",3,4,4,3,2,2,2,4,2,2,2,2,2,2,4,2,2,3,4,2,2,4,2,2,4,2,4,2,4,2,4,2,4,2,4,2,27,"1","PH",-17,36
"983",4,4,2,1,4,4,4,4,2,4,4,3,4,2,4,4,4,4,4,3,4,3,2,3,3,2,4,1,2,2,4,4,4,3,3,3,36,"2","PH",2,48
"984",4,4,2,4,4,4,4,4,4,3,4,3,4,4,3,2,4,4,2,3,4,2,4,3,2,2,2,1,3,3,3,2,4,3,3,3,14,"2","PH",12,50
"985",2,4,5,5,2,5,2,4,2,5,2,4,2,0,4,5,2,2,4,5,2,2,2,5,4,5,4,1,4,4,5,5,5,2,4,1,30,"1","PH",-21,60
"986",4,5,4,5,5,4,1,5,1,5,4,2,2,5,4,1,1,5,5,4,2,2,3,4,3,2,4,1,4,5,5,5,5,2,5,2,19,"2","PH",-16,60
"987",2,1,4,4,2,3,1,4,2,5,3,4,3,4,4,5,2,3,4,4,2,2,1,4,4,3,4,4,4,1,5,2,5,4,5,2,20,"2","PH",-21,55
"988",3,2,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,4,18,"2","PH",0,67
"989",1,5,4,5,1,4,1,1,1,5,1,5,1,5,5,4,2,5,3,5,3,1,1,1,5,4,5,4,2,3,2,2,5,4,5,4,17,"2","PH",-24,65
"990",3,5,5,5,1,5,2,4,3,5,4,5,4,5,3,5,3,5,3,4,4,2,2,5,4,4,4,3,3,3,4,5,4,4,4,3,17,"2","PH",-8,73
"991",2,4,5,2,1,2,1,3,1,3,1,2,1,4,3,2,1,2,4,1,2,2,2,1,3,2,5,3,4,3,4,2,4,1,3,3,19,"2","PH",-23,38
"992",4,3,5,5,4,5,5,5,4,5,5,4,5,4,4,3,4,4,3,4,5,3,4,3,5,3,4,3,4,5,3,4,5,3,4,3,18,"1","PH",3,63
"993",1,1,5,1,2,2,1,4,1,2,2,1,1,5,5,1,1,2,4,2,4,0,3,1,5,2,4,1,1,2,4,1,4,2,4,1,16,"1","PH",-20,31
"994",2,2,5,3,1,2,2,4,3,3,2,3,2,2,5,3,1,3,4,3,3,3,2,5,4,2,3,3,5,3,4,5,5,4,4,4,17,"2","PH",-21,51
"995",2,1,3,1,2,1,3,1,3,1,3,5,2,4,3,5,2,1,2,1,2,4,3,1,3,4,2,5,2,1,1,1,2,1,3,2,18,"2","PH",1,32
"996",2,3,3,4,2,4,4,4,2,4,2,4,2,3,5,4,2,4,4,4,2,2,2,4,0,3,4,2,2,3,4,4,4,3,4,2,20,"2","PH",-10,57
"997",2,4,4,4,2,4,1,3,2,4,4,1,1,4,4,2,4,5,4,2,4,2,3,3,4,1,4,2,2,2,5,4,4,5,4,4,20,"2","PH",-12,52
"998",2,4,5,4,2,4,2,5,3,5,3,4,2,4,3,3,3,4,4,2,5,3,2,3,3,3,5,1,0,3,4,2,4,4,4,1,21,"1","PH",-8,53
"999",3,4,4,4,3,4,2,4,3,4,3,4,3,4,3,3,3,3,3,3,4,3,3,2,4,3,4,2,3,2,3,3,3,3,2,3,21,"1","PH",-2,52
"1000",2,4,5,3,2,3,1,3,1,4,2,3,2,4,4,2,3,4,5,1,3,3,2,5,2,2,5,1,4,3,3,4,4,4,4,3,19,"2","PH",-18,50
"1001",4,4,4,5,3,5,2,4,2,5,4,4,2,4,4,4,4,4,3,2,3,2,4,4,2,4,4,2,2,4,4,3,4,4,4,3,18,"1","PH",-3,63
"1002",3,4,4,2,4,4,4,4,2,4,3,4,4,3,4,2,2,3,4,4,3,3,3,3,4,2,4,2,2,2,2,4,4,2,4,4,19,"2","PH",-4,50
"1003",4,5,1,4,5,5,4,4,4,5,5,2,5,5,5,5,4,4,1,2,5,1,4,4,2,4,2,1,1,2,4,5,2,4,2,2,24,"2","PH",20,62
"1004",2,3,4,2,2,3,1,3,2,4,2,2,1,4,4,2,2,4,4,4,2,3,2,4,4,2,5,1,4,3,4,4,4,4,5,3,26,"2","PH",-22,49
"1005",5,5,5,5,1,1,4,4,2,5,4,5,5,5,5,4,4,5,2,3,2,1,4,4,5,4,5,3,3,4,1,4,3,4,5,5,15,"1","PH",-3,69
"1007",4,2,5,2,4,3,4,2,3,3,4,1,5,1,1,2,4,2,2,2,5,5,5,1,1,2,4,1,1,2,3,3,4,4,4,1,20,"2","PH",13,29
"1008",2,4,3,2,3,2,3,4,3,4,3,4,3,2,4,3,3,4,2,2,4,4,4,4,2,3,2,2,2,3,4,3,3,4,2,2,19,"2","PH",4,48
"1009",1,1,5,1,1,1,5,3,1,1,1,3,1,1,5,1,1,3,5,1,5,5,1,1,4,1,5,1,3,1,1,1,5,1,5,1,24,"2","PH",-21,18
"1010",2,4,5,4,3,5,2,4,2,4,4,2,2,4,5,2,4,5,5,4,3,2,1,2,4,2,5,2,5,4,1,4,5,2,5,2,17,"2","PH",-17,54
"1011",1,5,5,4,1,4,1,4,1,5,3,3,1,1,5,2,1,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,1,5,5,36,"2","PH",-29,68
"1012",4,5,2,4,4,5,2,5,4,5,2,2,2,5,2,2,2,5,2,4,2,5,2,4,1,3,2,2,3,5,4,2,4,5,5,2,19,"2","PH",-1,60
"1013",4,5,4,3,5,4,1,4,5,5,4,2,2,5,4,2,2,4,1,1,1,2,3,1,4,2,4,1,1,3,2,4,2,4,2,5,20,"2","PH",3,53
"1014",4,4,5,4,4,4,3,4,4,4,4,4,3,5,3,4,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,3,4,4,4,3,18,"1","PH",-5,61
"1015",4,4,2,3,3,2,4,4,4,2,4,2,4,4,2,1,4,2,2,1,3,2,2,2,4,1,4,1,2,2,4,2,4,3,4,2,19,"1","PH",4,36
"1016",2,2,4,2,2,2,2,4,2,2,2,2,2,2,4,2,3,2,4,2,3,4,2,2,2,2,4,2,4,2,4,2,4,2,2,2,18,"2","PH",-12,32
"1017",4,5,4,4,4,4,3,2,3,4,4,4,3,5,4,2,3,4,3,3,3,1,2,4,3,4,3,4,3,2,3,3,3,4,3,4,18,"1","PH",0,61
"1018",2,3,5,2,1,1,1,4,1,3,1,1,1,2,5,1,1,2,5,2,3,4,1,1,5,1,5,1,2,1,5,2,5,4,5,1,26,"2","PH",-30,28
"1019",1,4,4,4,3,4,1,4,1,2,4,4,1,2,4,4,2,4,4,4,3,4,1,2,4,3,4,3,4,2,4,3,4,4,4,2,20,"2","PH",-19,51
"1020",5,4,2,2,3,2,3,2,4,2,4,4,3,4,4,4,1,3,3,4,4,4,4,4,5,3,4,4,4,4,3,4,4,4,4,3,56,"2","PH",-2,53
"1021",4,5,3,2,2,5,2,1,2,4,3,5,2,5,2,4,4,5,4,4,5,4,5,5,4,4,4,2,2,2,4,4,4,2,5,3,19,"2","PH",-3,58
"1022",5,5,2,3,2,4,3,5,2,4,2,2,3,3,2,2,2,3,4,2,1,1,1,2,2,1,3,2,3,3,4,4,5,3,5,2,17,"2","PH",-9,49
"1023",4,5,4,4,1,5,2,5,4,4,4,4,1,5,1,4,2,5,2,5,2,1,1,5,4,4,2,5,4,5,2,5,4,5,5,4,20,"2","PH",-7,78
"1024",1,5,5,4,1,5,1,5,1,5,4,5,1,5,5,5,1,5,5,2,2,1,1,5,1,1,5,1,5,3,3,4,5,3,5,5,19,"2","PH",-26,67
"1025",2,4,4,3,3,4,2,4,2,5,2,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,2,3,3,3,3,3,4,4,3,19,"1","PH",-9,58
"1026",2,4,4,4,3,4,3,4,1,5,5,1,4,4,5,1,2,5,2,4,2,2,1,4,5,3,5,1,5,2,5,4,5,4,5,3,16,"2","PH",-18,55
"1027",4,5,3,4,5,4,4,4,2,3,5,2,5,4,4,3,2,4,4,4,5,2,3,4,2,3,2,5,3,4,4,4,4,2,3,1,21,"2","PH",6,58
"1028",5,4,1,2,4,4,5,2,5,2,2,2,5,2,5,2,5,2,1,2,5,4,5,2,1,2,1,3,1,2,1,1,1,2,1,2,27,"1","PH",28,34
"1029",4,4,2,4,5,4,4,4,4,3,4,2,4,4,4,3,4,4,3,4,4,4,2,4,4,2,4,2,2,2,4,4,4,4,4,2,17,"2","PH",4,52
"1030",3,1,5,3,4,5,2,5,5,5,5,5,1,1,3,4,4,5,5,5,4,1,2,5,1,1,1,1,2,3,2,3,3,4,3,4,24,"2","PH",5,59
